country_code,team,team_code,season,year,league_tier,league_games,league_points,group,group_games,group_points,lat,lon
UKR,Metalist Kharkiv,MKH,2019/20,2019,,,,,,,49.9808161007557,36.261587522964
UKR,Metalist Kharkiv,MKH,2020/21,2020,3,22,62,,,,49.9808161007557,36.261587522964
UKR,Metalist Kharkiv,MKH,2021/22,2021,2,20,53,,,,49.9808161007557,36.261587522964
UKR,Metalist Kharkiv,MKH,2022/23,2022,1,30,22,,,,49.9808161007557,36.261587522964
UKR,Metalist Kharkiv,MKH,2023/24,2023,2,18,14,2,10,16,49.9808161007557,36.261587522964
UKR,Metalist Kharkiv,MKH,2024/25,2024,2,14,22,1,8,9,49.9808161007557,36.261587522964
UKR,Obolon Kyiv,OBL,2018/19,2018,2,28,47,,,,50.5270664534186,30.5075487538059
UKR,Obolon Kyiv,OBL,2019/20,2019,2,30,51,,,,50.5270664534186,30.5075487538059
UKR,Obolon Kyiv,OBL,2020/21,2020,2,30,43,,,,50.5270664534186,30.5075487538059
UKR,Obolon Kyiv,OBL,2021/22,2021,2,19,33,,,,50.5270664534186,30.5075487538059
UKR,Obolon Kyiv,OBL,2022/23,2022,2,14,29,1,14,29,50.5270664534186,30.5075487538059
UKR,Obolon Kyiv,OBL,2023/24,2023,1,30,26,,,,50.5270664534186,30.5075487538059
UKR,Obolon Kyiv,OBL,2024/25,2024,1,30,32,,,,50.5270664534186,30.5075487538059
UKR,Agrobiznes Volochysk,AHR,2018/19,2018,2,28,19,,,,49.5398783520188,26.2098735088917
UKR,Agrobiznes Volochysk,AHR,2019/20,2019,2,30,60,,,,49.5398783520188,26.2098735088917
UKR,Agrobiznes Volochysk,AHR,2020/21,2020,2,30,52,,,,49.5398783520188,26.2098735088917
UKR,Agrobiznes Volochysk,AHR,2021/22,2021,2,20,21,,,,49.5398783520188,26.2098735088917
UKR,Agrobiznes Volochysk,AHR,2022/23,2022,,,,,,,49.5398783520188,26.2098735088917
UKR,Agrobiznes Volochysk,AHR,2023/24,2023,2,18,29,1,10,9,49.5398783520188,26.2098735088917
UKR,Agrobiznes Volochysk,AHR,2024/25,2024,2,14,28,1,8,5,49.5398783520188,26.2098735088917
UKR,PFK Prykarpattya Ivano-Frankivsk,PRK,2018/19,2018,2,28,34,,,,48.9080414790172,24.6959883325753
UKR,PFK Prykarpattya Ivano-Frankivsk,PRK,2019/20,2019,2,30,30,,,,48.9080414790172,24.6959883325753
UKR,PFK Prykarpattya Ivano-Frankivsk,PRK,2020/21,2020,2,30,30,,,,48.9080414790172,24.6959883325753
UKR,PFK Prykarpattya Ivano-Frankivsk,PRK,2021/22,2021,2,20,28,,,,48.9080414790172,24.6959883325753
UKR,PFK Prykarpattya Ivano-Frankivsk,PRK,2022/23,2022,2,14,15,2,14,24,48.9080414790172,24.6959883325753
UKR,PFK Prykarpattya Ivano-Frankivsk,PRK,2023/24,2023,2,18,26,1,10,14,48.9080414790172,24.6959883325753
UKR,PFK Prykarpattya Ivano-Frankivsk,PRK,2024/25,2024,2,14,13,2,10,19,48.9080414790172,24.6959883325753
UKR,Girnyk-Sport Gorishni Plavni,HHP,2018/19,2018,2,28,27,,,,49.0041068089422,33.6481277947022
UKR,Girnyk-Sport Gorishni Plavni,HHP,2019/20,2019,2,30,39,,,,49.0041068089422,33.6481277947022
